,company_name,description,tags,image_link
116,re_Charge-e,"Re:Charge-e is a green tech company that develops and manufactures charging stations for electric bikes, scooters, and other devices.","['consumer-electronics', 'greentech', 'mobile-devices', 'public-transportation', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
117,Rhapis,Rhapis is an vehicle without chemical additives.,"['automotive', 'greentech', 'organic-be0f']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
118,Rinfret,Rinfret is a full-service interior design company.,"['construction', 'home-decor-c954', 'interior-design']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
119,Sahy electric,"Forestalia is a renewable energy company that offers electricity, biomass, wind, photovoltaic, and green energy projects.","['electrical-distribution', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
120,Scriptation LLC,An innovative SaaS based application for business for all your documents to be endorsed/attested/signed with a click in seconds,"['apps', 'document-management', 'greentech', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
121,Seed Round - Inoqo - 2021-04-06 - Crunchbase Funding Round Profile,An innovative SaaS based application for business for all your documents to be endorsed/attested/signed with a click in seconds,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
122,Seed Round - Platio - 2020-12-17 - Crunchbase Funding Round Profile,An innovative SaaS based application for business for all your documents to be endorsed/attested/signed with a click in seconds,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
123,Seed Round - Soletair Power - 2019-04-15 - Crunchbase Funding Round Profile,An innovative SaaS based application for business for all your documents to be endorsed/attested/signed with a click in seconds,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
124,Seed Round - Volta Greentech - 2019-08-07 - Crunchbase Funding Round Profile,An innovative SaaS based application for business for all your documents to be endorsed/attested/signed with a click in seconds,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
125,Sense,Sense specializes in tracking devices and home automation solutions for its customers.,"['consumer-electronics', 'greentech', 'hardware', 'internet-of-things-ed3a', 'smart-home-8900', 'software', 'speech-recognition']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
126,Series A - Ecochain Technologies - 2017-12-01 - Crunchbase Funding Round Profile,Sense specializes in tracking devices and home automation solutions for its customers.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
127,Series A - EcoTree - 2019-09-19 - Crunchbase Funding Round Profile,Sense specializes in tracking devices and home automation solutions for its customers.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
128,Series A - VIGGA - 2018-04-01 - Crunchbase Funding Round Profile,Sense specializes in tracking devices and home automation solutions for its customers.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
129,Series C - TIER Mobility - 2020-11-10 - Crunchbase Funding Round Profile,Sense specializes in tracking devices and home automation solutions for its customers.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
130,seven planet,Sense specializes in tracking devices and home automation solutions for its customers.,['greentech'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
131,Shoreline,The all-in one startup investor relations platform.,"['analytics', 'b2b', 'enterprise-software', 'greentech', 'saas-5c4e', 'simulation']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
132,Sklenar Insurance Services,"Sklenar Insurance Services specializes in home insurance, auto insurance, business insurance, life insurance, and health insurance.","['auto-insurance', 'commercial-insurance', 'health-insurance', 'insurance']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
133,Soleus Capital - Crunchbase Investor Profile & Investments,Soleus Capital is a private equity firm.,['financial-services'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
134,SR Energy,SR Energy is a green energy company that invests long-term in renewable energy.,"['energy-0ff0', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
135,Superzero,Bulk liquid cleaning products and dispensers,"['cleantech', 'greentech', 'manufacturing', 'retail']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
136,Sureview Capital LLC,Sureview Capital is a registered investment advisor managing equity funds and primarily provides its services to pooled investment vehicles.,"['asset-management', 'financial-services', 'hedge-funds', 'professional-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
137,SwaPlants,UrbiGo helps people grow their own fresh ingredients by creating connected and smart mini indoor gardens.,"['greentech', 'home-and-garden']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
138,Tempus Advisors,"Eldridge Investment Advisors offers estate planning, retirement planning, tax planning, risk management, and insurance planning services.","['financial-services', 'insurance', 'professional-services', 'retirement', 'risk-management']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
139,ThermoShade,"Eldridge Investment Advisors offers estate planning, retirement planning, tax planning, risk management, and insurance planning services.","['green-building', 'greentech', 'outdoors']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
140,Tree,Tree.ly objective is to conserve forests by utilizing cutting-edge technology and regional collaboration.,"['consulting', 'financial-services', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
141,U Visibility,Dotbound is an internet marketing service for small businesses.,"['advertising-6cb6', 'seo', 'web-design']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
142,UmbrellaPro,Kube Partners provides software solutions for the insurance and banking sector.,"['insurance', 'online-portals', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
143,UrbanChain,Simplifying renewable energy with portable lego-like power system with virtual battery platform,"['artificial-intelligence', 'blockchain', 'clean-energy', 'energy-0ff0', 'energy-management', 'greentech', 'information-technology-dbca', 'machine-learning', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
144,Urstadt Biddle Properties Inc,Trump International Realty is a real estate company that specializes in the ownership and management of luxury properties.,['real-estate'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
145,Vahaa Vertical Farming Solutions,Robotics for a sustainable future,"['agriculture', 'agtech', 'farming', 'greentech', 'hydroponics', 'organic-food', 'social-entrepreneurship', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
146,Venture Round - BIO-LUTIONS - 2017-03-21 - Crunchbase Funding Round Profile,Robotics for a sustainable future,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
147,Venture Round - Efficient Energy - 2011-03-14 - Crunchbase Funding Round Profile,Robotics for a sustainable future,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
148,Venture Round - Recommerce Group - 2013-02-27 - Crunchbase Funding Round Profile,Robotics for a sustainable future,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
149,Vesta Smart Packaging,Vesta Smart Packaging provides environment-friendly packaging services.,"['cleantech', 'customer-service', 'environmental-engineering-5941', 'greentech', 'packaging-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
150,VIGGA,"The world’s first international marketplace, enabling parents to subscribe to the use of high-quality maternity and children’s wear.","['e-commerce-275d', 'fashion', 'greentech', 'recycling', 'womens']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
151,VS Asset Management - Crunchbase Investor Profile & Investments,Hayes Asset Management is an investment advisory firm.,"['asset-management', 'financial-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
152,Wolfpack Digital,Powerful Web and Mobile Apps Start-to-End,"['beauty', 'greentech', 'information-technology-dbca', 'medical', 'social', 'software', 'sports', 'transportation', 'travel']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
153,Work Accelerated,Leading Outsourcing and Staff Augmentation Service Provider.,['consulting'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
154,Worldwide Green Enterprises,We are a science and innovation company dedicated to preserving the environment by creating products that lower humanity's negative impact. ,"['aerospace-8a20', 'automotive', 'boating', 'green-consumer-goods', 'greentech', 'hospital-650c', 'hospitality', 'industrial', 'manufacturing', 'nanotechnology', 'organic-be0f']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
155,Wren,"Busybusy is a web and mobile app that helps automate time and labor tracking, job costing, and project documenting.","['greentech', 'software', 'web-apps']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
156,Zonergy,AP Solar Works is a renewable energy and cleantech startup providing solar rooftop solutions.,"['energy-0ff0', 'greentech', 'renewable-energy', 'solar-c3d5']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
